# Each line represents a Chinese character entry with six fields, separated by spaces.
# Fields:
# 1. Character: the Chinese character itself
# 2. Pinyin: the pronunciation of the character (in cases of 多音字, the pronunciation used in the hint is given); capitalized if part of a proper noun (e.g., yī, Shàng).
# 3. Hint: a short phrase or idiom (up to 4 characters) that helps remember or illustrate the character; the character may appear multiple times in the hint
# 4. Frequency: usage frequency from the Jun Da modern Chinese database (numerical; lower = more common)
# 5. HSK level: based on HSK 3.0 standards: numbers 1 through 6 denote HSK1–HSK6; "+" denotes HSK7–9; "n" denotes a non-HSK character
# 6. Character structure: coded number corresponding to the character's structure as sourced from Make Me a Hanzi:
#    1: ⿱ (top-bottom)  
#    2: ⿳ (top-middle-bottom)  
#    3: ⿰ (left-right)  
#    4: ⿲ (left-middle-right)  
#    5: ⿴ (enclosure)  
#    6: ⿵ (bottom enclosure)  
#    7: ⿶ (left enclosure)  
#    8: ⿸ (upper-left enclosure)  
#    9: ⿷ (upper-right enclosure)  
#    10: ⿺ (bottom-left enclosure)  
#    11: ⿹ (bottom-right enclosure)  
#    12: none (simple or single-component character)  
#    13: ⿻ (overlapping components)


氦 hài 氦气球 3972 n 11
氧 yǎng 二氧化碳 1863 6 11
氨 ān 氨基酸 3028 n 11
氪 kè 氦氖氩氪 5279 n 11
氮 dàn 施用氮肥 3482 n 11
氯 lǜ 氯化钠 3013 n 11
氰 qíng 氰化物 4463 n 11
水 shuǐ 水滴石穿 202 1 13
永 yǒng 永远不忘 842 2 1
汀 tīng 克里斯汀 3163 n 3
汁 zhī 苹果汁 2540 3 3
求 qiú 不求回报 312 2 13
汇 huì 词汇量 1187 4 3
汉 Hàn 汉语拼音 711 1 3
汐 xī 潮汐能 4186 n 3
汕 Shàn 广东汕头 3878 n 3
汗 hàn 满脸汗水 1490 5 3
汛 xùn 防汛抗旱 3759 + 3
汝 rǔ 乌鲁汝 2547 n 3
汞 gǒng 汞温度计 3772 n 1
江 jiāng 长江三峡 577 4 3
池 chí 锂电池 1709 5 3
污 wū 空气污染 1405 5 3
汤 tāng 心灵鸡汤 1618 3 3
汩 gǔ 汩汩流淌 4342 n 3
汪 wāng 狗叫汪汪 1876 + 3
汰 tài 淘汰掉了 2969 + 3
汲 jí 汲取教训 3374 n 3
汹 xiōng 波涛汹涌 2746 + 3
汽 qì 含铅汽油 1200 1 3
沁 qìn 沁人心脾 3025 n 3
沃 wò 肥沃土地 1808 + 3
沈 Shěn 辽宁沈阳 1681 n 3
沉 chén 沉默不语 747 4 3
沌 dùn 一片混沌 3309 n 3
沏 qī 烧水沏茶 4487 + 3
沐 mù 沐浴阳光 3464 + 3
沙 shā 戈壁沙漠 848 3 3
沛 pèi 精力充沛 3032 + 3
沟 gōu 和他沟通 1610 5 3
没 méi 我没有钱 72 1 3
沥 lì 沥青路面 3598 n 3
沦 lún 沦为乞丐 2733 n 3
沧 cāng 饱经沧桑 3023 + 3
沪 hù 上海：沪 2734 + 3
沫 mò 经济泡沫 2495 + 3
沮 jǔ 令我沮丧 2878 + 3
河 hé 江河湖海 574 2 3
沸 fèi 沸腾的水 2698 + 3
油 yóu 加油站 948 2 3
治 zhì 治疗疾病 274 4 3
沼 zhǎo 湿地沼泽 2480 + 3
沽 gū 待价而沽 3492 + 3
沾 zhān 沾我的光 2402 + 3
沿 yán 沿着河边 1182 6 3
泄 xiè 泄漏机密 2010 + 3
泅 qiú 泅水而过 4604 n 3
泉 quán 矿泉水 1641 4 1
泊 bó 抛锚停泊 2043 + 3
泌 mì 汗腺分泌 2609 + 3
泓 hóng 一泓秋水 4409 n 3
法 fǎ 遵循法律 65 2 3
泛 fàn 泛滥成灾 1327 5 3
泞 nìng 泥泞山路 3936 n 3
泡 pào 泡泡糖 2000 6 3
波 bō 波浪翻滚 664 6 3
泣 qì 伤心哭泣 2449 + 3
泥 ní 未干水泥 1499 6 3
注 zhù 注意安全 492 3 3
泪 lèi 流下眼泪 1271 4 3
泰 Tài 泰山北斗 1318 + 1
泳 yǒng 游泳池 2607 3 3
泵 bèng 抽水泵 3800 n 1
泸 Lú 泸沽湖 4736 n 3
泻 xiè 患有腹泻 2715 + 3
泼 pō 泼水节 2327 5 3
泽 Zé 毛泽东 951 + 3
洁 jié 清洁人员 1531 6 3
洋 yáng 太平洋 803 6 3
洒 sǎ 英俊潇洒 2283 5 3
洗 xǐ 洗耳恭听 1247 1 3
洛 Luò 洛杉矶 978 n 3
洞 dòng 安全漏洞 1015 5 3
津 jīn 津津有味 1353 + 3
洪 hóng 洪水泛滥 1350 6 3
洱 ěr 普洱茶 5109 n 3
洲 zhōu 南美洲 701 + 3
活 huó 生活方式 219 2 3
洼 wā 低洼地区 3226 n 3
洽 qià 相处融洽 3039 + 3
派 pài 派出所 532 3 3
流 liú 潺潺流水 396 2 3
浅 qiǎn 受益匪浅 1721 4 3
浆 jiāng 豆浆油条 2626 + 1
浇 jiāo 给花浇水 2866 + 3
浊 zhuó 混浊不清 2985 + 3
测 cè 测量体温 861 4 3
济 jì 经济发展 360 3 3
浏 liú 浏览网页 2841 + 3
浑 hún 浑身发抖 1991 + 3
浒 hǔ 水浒传 3794 n 3
浓 nóng 浓厚兴趣 1585 4 3
浙 Zhè 浙江杭州 2119 + 3
浣 huàn 北美浣熊 4343 n 3
浦 Pǔ 上海浦东 2161 + 3
浩 hào 呼和浩特 1864 + 3
浪 làng 海浪拍岸 1186 3 3
浮 fú 水上漂浮 1462 6 3
浴 yù 洗个淋浴 2290 + 3
海 hǎi 地中海 189 2 3
浸 jìn 浸泡衣服 2354 + 3
涂 tú 涂一层漆 1735 + 3
涅 niè 进入涅槃 2343 n 3
消 xiāo 好消息 439 3 3
涉 shè 长途跋涉 1239 6 3
涌 yǒng 水涌出来 1642 + 3
涎 xián 垂涎三尺 3771 n 3
涓 juān 涓涓细流 4050 n 3
涕 tì 流鼻涕 3006 + 3
涛 tāo 波涛汹涌 2054 + 3
涝 lào 雨季防涝 4179 + 3
涟 lián 水上涟漪 3889 n 3
涡 wō 海上漩涡 2759 + 3
涣 huàn 纪律涣散 3832 n 3
涤 dí 洗涤剂 3218 + 3
润 rùn 润色文章 1369 5 3
涧 jiàn 山涧瀑布 3828 n 3
涨 zhǎng 物价上涨 1803 5 3
涩 sè 苦涩柿子 2836 n 3
涮 shuàn 吃涮火锅 4527 + 3
涯 yá 职业生涯 2604 + 3
液 yè 液态氮 1451 6 3
涵 hán 深刻内涵 2330 + 3
淀 diàn 沉淀物 3159 + 3
淅 xī 淅淅沥沥 4616 n 3
淆 xiáo 混淆左右 3263 + 3
淇 qí 冰淇淋 4010 n 3
淋 lín 被雨淋湿 2168 + 3
淌 tǎng 河流流淌 2994 + 3
淑 shū 娴雅淑女 2643 n 3
淖 nào 走出泥淖 3966 n 3
淘 táo 被淘汰了 2499 + 3
淡 dàn 淡水湖 1293 4 3
淤 yū 一层淤泥 3576 n 3
淫 yín 卖淫嫖娼 2297 n 3
淮 Huái 淮河流域 2293 + 3
深 shēn 小心深水 401 3 3
淳 chún 天真淳朴 3147 n 3
混 hùn 混水摸鱼 1137 6 3
淹 yān 被水淹没 2580 + 3
添 tiān 画蛇添足 1859 6 3
清 qīng 搞不清楚 335 2 3
渊 yuān 学识渊博 2192 + 3
渍 zì 清除污渍 3773 n 3
渎 dú 渎职犯罪 3373 n 3
渐 jiàn 逐渐消失 870 4 3
渔 yú 渔民钓鱼 1770 + 3
渗 shèn 水渗入土 2520 + 3
渝 yú 重庆：渝 3641 + 3
渠 qú 沟通渠道 2315 6 1
渡 dù 渡过难关 1406 6 3
渣 zhā 面包渣儿 3196 + 3
渤 Bó 北方渤海 3762 n 3
温 wēn 温馨提示 867 2 3
港 gǎng 香港回归 927 6 3
渲 xuàn 色彩渲染 3606 n 3
渴 kě 渴望和平 1972 1 3
游 yóu 玩游戏 695 2 3
渺 miǎo 细微渺小 2966 + 3
湃 pài 海浪澎湃 3818 n 3
湄 Méi 湄公河 3639 n 3
湖 hú 杭州西湖 918 2 3
湘 xiāng 湖南：湘 2245 n 3
湛 zhàn 工艺精湛 3189 n 3
湾 wān 台湾海峡 855 6 3
湿 shī 湿润气候 1743 4 3
溃 kuì 精神崩溃 1916 + 3
溅 jiàn 水花飞溅 2949 + 3
溉 gài 灌溉作物 3524 + 3
溏 táng 溏心蛋 6068 n 3
源 yuán 自然资源 670 4 3
溜 liū 偷偷溜走 1923 + 3
溢 yì 水溢出来 2454 + 3
溥 Pǔ 末代溥仪 3882 n 3
溪 xī 一条小溪 2194 + 3
溯 sù 追根溯源 2762 + 3
溶 róng 水中溶解 2278 + 3
溺 nì 溺爱孩子 3291 n 3
滇 diān 云南：滇 3534 n 3
滋 zī 滋润皮肤 1931 + 3
滑 huá 小心地滑 1480 5 3
滓 zǐ 社会渣滓 4522 n 3
滔 tāo 滔滔不绝 2760 + 3
滕 Téng 滕王阁 3892 n 3
滚 gǔn 摇滚音乐 1542 5 3
滞 zhì 滞留机场 2302 + 3
满 mǎn 满足要求 436 2 3
滤 lǜ 过滤器 3249 + 3
滥 làn 滥用职权 2282 + 3
滨 bīn 哈尔滨 2474 + 3
滩 tān 沙滩排球 2062 + 3
滴 dī 点点滴滴 1896 6 3
漂 piào 她很漂亮 1568 2 3
漆 qī 刷油漆 2296 + 3
漉 lù 湿漉漉 3658 n 3
漏 lòu 屋顶漏水 2052 5 3
漓 lí 淋漓尽致 3413 n 3
演 yǎn 表演节目 715 3 3
漕 cáo 漕运码头 4375 n 3
漠 mò 冷漠无情 1777 5 3
漩 xuán 海上漩涡 3706 n 3
漪 yī 水上涟漪 3676 n 3
漫 màn 浪漫电影 1455 5 3
漱 shù 起床洗漱 3402 n 3
漾 yàng 湖水荡漾 3697 + 3
潇 xiāo 潇洒风度 3216 + 3
潘 Pān 潘基文 2070 + 3
潜 qián 实现潜力 1112 6 3
潢 huáng 室内装潢 4551 n 3
潦 liáo 字迹潦草 3739 + 3
潭 tán 一潭死水 2750 + 3
潮 cháo 服装潮流 1302 4 3
潺 chán 潺潺流水 4033 n 3
澄 chéng 澄清误会 2756 + 3
澈 chè 清澈见底 3365 n 3
澎 péng 汹涌澎湃 3481 n 3
澜 lán 波澜起伏 2789 + 3
澡 zǎo 洗澡刷牙 2695 2 3
澳 Ào 澳大利亚 1627 + 3
激 jī 刺激经济 710 4 3
濒 bīn 濒临灭绝 3153 n 3
濡 rú 相濡以沫 4566 n 3
瀑 pù 高山瀑布 3195 + 3
瀚 hàn 浩瀚天空 3666 n 3
瀛 yíng 瀛洲秘境 3890 n 3
灌 guàn 灌溉用水 2077 + 3
火 huǒ 发射火箭 433 1 13
灭 miè 消灭害虫 953 6 1
灯 dēng 红绿灯 1115 2 3
灰 huī 灰心丧气 1311 5 8
灵 líng 心灵鸡汤 734 6 1
灶 zào 厨房灶台 2691 + 3
灸 jiǔ 针灸疗法 4024 + 1
灼 zhuó 胃灼热 2867 + 3
灾 zāi 灾难性的 1349 5 1
灿 càn 灿烂辉煌 2591 + 3
炀 Yáng 隋炀帝 4395 n 3
炉 lú 厨房炉灶 1980 6 3
炊 chuī 烟囱炊烟 3333 + 3
炎 yán 伤口发炎 1324 6 1
炒 chǎo 蛋炒饭 2590 6 3
炕 kàng 取暖炕炉 2975 n 3
炖 dùn 慢炖锅 3857 + 3
炙 zhì 残杯冷炙 3672 n 1
炫 xuàn 炫耀财富 3292 + 3
炬 jù 奥运火炬 3429 + 3
炭 tàn 雪中送炭 2369 + 1
炮 pào 放鞭炮 914 6 3
炯 jiǒng 炯炯有神 2933 n 3
炳 bǐng 炳耀光辉 3227 n 3
炸 zhà 炸弹爆炸 976 6 3
点 diǎn 画龙点睛 128 1 1
炼 liàn 锻炼身体 1763 4 3
炽 chì 炉火炽烈 3277 n 3
烁 shuò 星光闪烁 2702 + 3
烂 làn 灿烂笑容 1754 5 3
烈 liè 热烈欢迎 802 3 1
烊 yàng 打烊关门 4961 n 3
烘 hōng 烘焙食品 3266 + 3
烙 lào 给牛烙印 3440 n 3
烛 zhú 一支蜡烛 2537 + 3
烟 yān 禁止吸烟 967 3 3
烤 kǎo 北京烤鸭 2629 5 3
烦 fán 麻烦你了 1253 3 3
烧 shāo 烧水沏茶 1201 4 3
烩 huì 大杂烩 4828 n 3
烫 tàng 烫手山芋 2903 + 1
烬 jìn 烧成灰烬 3670 n 3
热 rè 热烈欢迎 606 1 1
烯 xī 乙烯基 4277 n 3
烷 wán 甲烷气 4379 n 3
烹 pēng 烹饪方法 3461 + 1
烽 fēng 烽火台 3991 n 3
焉 yān 心不在焉 2526 n 2
焊 hàn 焊接金属 4087 + 3
焕 huàn 精神焕发 2773 + 3
焖 mèn 扁豆焖面 5207 n 3
焙 bèi 烘焙食品 3955 n 3
焚 fén 焚烧垃圾 2498 + 1
焦 jiāo 关注焦点 1554 6 1
焯 chāo 焯水过凉 5673 n 3
焰 yàn 熄灭火焰 2259 + 3
然 rán 理所当然 55 2 1
煌 huáng 辉煌成就 2276 + 3
煎 jiān 煎饼果子 2893 + 1
煞 shà 脸色煞白 2280 n 1
煤 méi 燃烧煤炭 1740 5 3
煦 xù 温煦阳光 4124 n 1
照 zhào 按照计划 443 2 1
煮 zhǔ 在锅里煮 2582 6 1
煲 bāo 电饭煲 4865 + 1
煸 biān 干煸豆角 5609 n 3
煽 shān 煽动战争 3086 + 3
熄 xī 熄灭火焰 2858 + 3
熊 xióng 大熊猫 1741 5 1
熏 xūn 烟熏肉 2997 + 1
熔 róng 盐熔于水 3011 n 3
熙 xī 康熙字典 2485 + 1
熟 shú 和她熟悉 1035 2 1
熨 yùn 熨平衣服 4498 n 1
熬 áo 熬夜工作 2705 + 1
熹 xī 晨光熹微 3871 n 1
燃 rán 火在燃烧 1553 4 3
燎 liǎo 燎了眉毛 4041 n 3
燕 yàn 燕子泥巢 1705 + 1
燥 zào 干燥开裂 2613 + 3
爆 bào 炸弹爆炸 1243 6 3
爪 zhuǎ 鸡爪子 2363 + 6
爬 pá 爬行动物 1426 2 10
爱 ài 爱不释手 394 1 1
爵 jué 爵士称号 1925 + 1
父 fù 父亲母亲 589 3 1
爷 yé 爷爷奶奶 1007 1 1
爸 bà 爸爸妈妈 1050 1 1
爹 diē 爸爸是爹 2004 + 1
爽 shuǎng 清风凉爽 2378 6 13
片 piàn 这张照片 455 2 8
版 bǎn 英文版本 810 5 3
牌 pái 知名品牌 1261 3 3
牍 dú 连篇累牍 4235 n 3
牙 yá 一颗牙齿 997 4 12
牛 niú 九牛一毛 1018 1 12
牟 móu 从中牟利 2854 n 1
牡 mǔ 牡丹花 3001 + 3
牢 láo 亡羊补牢 1696 6 1
牧 mù 畜牧业 1580 + 3
物 wù 动植物 142 2 3
牲 shēng 自我牺牲 1582 6 3
牵 qiān 牵扯进来 1679 6 1
特 tè 特殊情况 173 2 3
牺 xī 牺牲生命 1814 6 3
犀 xī 犀牛角 3490 n 8
犁 lí 农民犁田 3176 n 1
犒 kào 犒劳自己 4699 n 3
犬 quǎn 狂犬病 2649 + 13
犯 fàn 犯过错误 767 6 3
状 zhuàng 战争状态 624 3 3
犸 mà 长毛猛犸 5838 n 3
犹 yóu 犹豫不决 1230 5 3
狂 kuáng 疯狂迷恋 1147 5 3
狄 Dí 狄仁杰 2219 n 3
狈 bèi 狼狈不堪 3090 + 3
狐 hú 狐假虎威 2321 n 3
狒 fèi 狒狒 3281 n 3
狗 gǒu 狗汪汪叫 1281 2 3
狙 jū 狙击步枪 3621 n 3
狞 níng 面目狰狞 3457 n 3
狠 hěn 狠了狠心 1654 6 3
狡 jiǎo 狡猾狐狸 2670 + 3
狩 shòu 狩猎季节 3190 n 3
独 dú 独立国家 627 4 3
狭 xiá 街道狭窄 2018 + 3
狮 shī 狮子大吼 2211 + 3
狰 zhēng 面目狰狞 4047 n 3
狱 yù 罪犯入狱 1597 + 3
狸 lí 一只狐狸 2738 n 3
狻 suān 狻猊神兽 4637 n 3
狼 láng 狼狈不堪 1708 + 3
猎 liè 打猎野猪 1687 + 3
猕 mí 猕猴桃 4681 n 3
猖 chāng 犯罪猖獗 3392 + 3
猛 měng 猛烈刹车 1157 6 3
猜 cāi 很多猜测 1598 5 3
猝 cù 意外猝死 3316 n 3
猥 wěi 猥亵行为 4270 n 3
猩 xīng 黑猩猩 2016 + 3
猪 Zhū 猪八戒 1762 3 3
猫 māo 大熊猫 1673 2 3
猬 wèi 一只刺猬 4455 n 3
献 xiàn 奉献精神 1192 5 3
猴 hóu 猴年马月 2187 5 3
猾 huá 狡猾狐狸 3083 + 3
猿 yuán 猿猴群体 2312 n 3
獒 áo 西藏獒犬 6263 n 1
獗 jué 作弊猖獗 3899 n 3
獭 tǎ 敏捷水獭 4427 n 3
獾 huān 獾子挖洞 4312 n 3
玄 xuán 深奥玄妙 1717 + 1
率 lǜ 效率很高 625 4 1
玉 yù 抛砖引玉 1001 4 13
王 wáng 白马王子 299 2 1
玖 jiǔ 柒捌玖拾 5072 n 3
玛 mǎ 沃尔玛 1248 n 3
玩 wán 开玩笑 1072 1 3
玫 méi 玫瑰花 2303 + 3
环 huán 保护环境 681 3 3
现 xiàn 实现梦想 70 1 3
玲 líng 小巧玲珑 1855 n 3
玷 diàn 玷污名声 4069 n 3
玺 xǐ 加盖国玺 3758 n 1
玻 bō 玻璃窗户 1769 5 3
珀 pò 琥珀化石 2981 n 3
珊 shān 珊瑚礁 2555 n 3
珍 zhēn 珍珠奶茶 1314 5 3
珑 lóng 八面玲珑 3797 n 3
珞 Luò 珞巴族 4586 n 3
珠 zhū 珍珠奶茶 1286 5 3
班 bān 上班族 884 1 4
球 qiú 打篮球 628 1 3
琅 láng 琳琅满目 3585 n 3
理 lǐ 理所当然 89 2 3
琉 liú 琉璃瓦 2962 n 3
琐 suǒ 无聊琐事 2834 n 3
琢 zuó 反复琢磨 2921 + 3
琥 hǔ 琥珀色 4456 n 3
琦 Qí 琦君散文 3288 n 3
琪 qí 梁咏琪 3138 n 3
琳 lín 琳琅满目 2400 n 3
琴 qín 弹钢琴 1701 5 1
琵 pí 琵琶 3721 n 1
琶 pá 琵琶 3612 n 1
琼 Qióng 琼斯先生 2205 n 3
瑕 xiá 瑕疵 3842 n 3
瑙 nǎo 玛瑙石 3428 n 3
瑚 hú 珊瑚礁 3140 n 3
瑜 yú 练瑜伽 2875 n 3
瑞 Ruì 瑞幸咖啡 1332 + 3
瑟 sè 瑟瑟发抖 1694 n 1
瑰 guī 玫瑰花 2492 + 3
瑶 Yáo 琼瑶作品 2900 n 3
璀 cuǐ 璀璨之星 4692 n 3
璃 lí 玻璃杯 1894 5 3
璇 Xuán 周璇歌声 2065 n 3
璋 zhāng 朱元璋 3267 n 3
璞 pú 返璞归真 3906 n 3
璧 bì 中西合璧 3589 n 1
璨 càn 璀璨之星 4638 n 3
瓜 guā 哈密瓜 1827 4 6
瓢 piáo 七星瓢虫 3735 n 3
瓣 bàn 花瓣飘落 2915 + 4
瓤 ráng 黄瓤西瓜 5046 n 3
瓦 wǎ 屋顶瓦片 1195 + 12
瓮 wèng 瓮中之鳖 3873 n 1
瓶 píng 一瓶红酒 1703 2 3
瓷 cí 陶瓷制品 2285 + 1
甄 zhēn 甄别考试 3933 n 3
甘 Gān 甘肃省 1408 + 6
甚 shèn 甚而至于 626 4 1
甜 tián 甜言蜜语 2020 3 3
生 shēng 医生看病 34 1 13
甥 shēng 外甥女 3809 n 3
用 yòng 起…作用 51 1 6
甩 shuǎi 甩着尾巴 2603 + 13
甫 Fǔ 杜甫诗人 2152 n 13
甭 béng 甭提了 3396 n 1
田 tián 一片田野 778 6 6
由 yóu 由此可见 136 2 13
甲 jiǎ 涂指甲油 1106 5 13
申 shēn 申请贷款 1110 4 13
电 diàn 打个电话 230 1 13
男 nán 男女平等 602 1 1
甸 diàn 缅甸 2588 + 11
画 huà 画蛇添足 883 2 1
畅 chàng 畅销小说 2122 6 3
界 jiè 世界冠军 288 3 1
畏 wèi 毫无畏惧 2039 + 2
畔 pàn 湖畔小屋 2833 + 3
留 liú 出国留学 554 2 1
畜 chù 牲畜饲料 2030 + 1
略 lüè 省略号 704 6 3
畦 qí 菜畦种植 4795 n 3
番 fān 番茄酱 1452 6 1
蕃 fān variant 3646 n
畴 chóu 不同范畴 2699 + 3
畸 jī 畸变屈曲 3155 + 3
疆 jiāng 新疆省 2036 + 3
疏 shū 工作疏忽 1897 + 3
疑 yí 毫无疑问 698 4 3
疗 liáo 治疗疾病 949 4 8
疙 gē 鸡皮疙瘩 3527 n 8
疚 jiù 感到内疚 3203 n 8
疟 nüè 防治疟疾 4153 n 8
疡 yáng 胃溃疡 3372 n 8
疣 yóu 祛疣膏 3776 n 8
疤 bā 伤口疤痕 3055 n 8
疫 yì 免疫力 1791 + 8
疮 chuāng 百孔千疮 3093 n 8
疯 fēng 疯狂爱情 1549 5 8
疱 pào 疱疹病毒 4113 n 8
疲 pí 疲惫不堪 1778 + 8
疵 cī 瑕疵品 3986 n 8
疹 zhěn 麻疹疫苗 3215 n 8
疼 téng 减轻疼痛 1710 2 8
疽 jū 生了坏疽 4182 n 8
疾 jí 传播疾病 1273 6 8
病 bìng 我生病了 427 1 8
症 zhèng 减轻症状 1258 6 8
痉 jìng 肌肉痉挛 3430 n 8
痊 quán 早日痊愈 3618 n 8
痒 yǎng 挠痒痒 2646 + 8
痔 zhì 痔疮膏 3768 n 8
痕 hén 留下痕迹 1938 + 8
痘 dòu 青春痘 4106 n 8
痛 tòng 缓解痛苦 730 3 8
痞 pǐ 腹部痞块 4093 n 8
痢 lì 杆菌痢疾 4107 n 8
痣 zhì 一颗黑痣 4143 n 8
痪 huàn 四肢瘫痪 3128 + 8
痫 xián 癫痫发作 4019 n 8
痰 tán 化痰止咳 3044 + 8
痴 chī 痴心妄想 2225 + 8
痹 bì 神经麻痹 3391 + 8
瘀 yū 活血化瘀 4157 n 8
瘁 cuì 鞠躬尽瘁 4325 n 8
瘘 lòu 肛门瘘管 5324 n 8
瘟 wēn 猪瘟疫区 3285 + 8
瘤 liú 恶性肿瘤 2141 + 8
瘦 shòu 减肥瘦身 1841 5 8
瘩 da 鸡皮疙瘩 3549 n 8
瘪 biě 干瘪嘴唇 3812 n 8
瘫 tān 双腿瘫痪 2823 + 8
瘸 qué 一瘸一拐 3943 n 8
瘾 yǐn 玩过瘾了 3258 + 8
癌 ái 早期癌症 1799 + 8
癖 pǐ 洁癖鬼 3669 n 8
癞 lài 癞蛤蟆 4225 n 8
癣 xuǎn 牛皮癣 4067 n 8
癫 diān 癫痫发作 2887 n 8
癸 guǐ 庚辛壬癸 4414 n 1
登 dēng 登机牌 817 4 1
白 bái 白雪公主 286 1 13
百 bǎi 老百姓 407 1 1
皂 zào 肥皂泡沫 3087 + 1
的 de 漂亮的花 1 1 3
皆 jiē 比比皆是 1419 + 1
皇 huáng 皇帝宝座 759 6 1
皈 guī 皈依佛教 3660 n 3
皎 jiǎo 皎洁月亮 4351 n 3
皓 Hào 王皓乒乓 3053 n 3
皖 wǎn 安徽：皖 3247 n 3
皙 xī 皮肤白皙 4315 n 1
皮 pí 皮肤癌 741 3 8
皱 zhòu 皮肤皱纹 1954 + 3
皿 mǐn 玻璃器皿 3763 n 1
盅 zhōng 陶瓷酒盅 3998 n 1
盆 pén 洗脸盆子 2035 5 1
盈 yíng 盈亏平衡 2111 + 1
益 yì 受益匪浅 649 4 1
盎 àng 生机盎然 3410 n 1
盏 zhǎn 一盏灯 2803 + 1
盐 yán 盐和胡椒 1885 4 1
监 jiān 监督 838 6 1
盒 hé 一盒火柴 2067 5 1
盔 kuī 戴上头盔 3030 n 1
盖 gài 覆盖率 1052 4 1
盗 dào 海盗宝藏 1619 6 1
盘 pán 电脑硬盘 1049 4 1
盛 shèng 盛大婚礼 1142 6 1
盟 méng 欧洲联盟 1163 6 1
目 mù 一目了然 239 2 5
盯 dīng 盯着我看 1906 + 3
盲 máng 盲人摸象 2079 6 1
直 zhí 直升飞机 255 2 2
相 xiāng 互相帮助 152 2 3
盹 dǔn 打了个盹 4220 + 3
盼 pàn 期盼已久 2174 6 3
盾 dùn 自相矛盾 1395 5 8
省 shěng 广东省 666 2 1
眈 dān 虎视眈眈 3979 n 3
眉 méi 愁眉苦脸 1460 + 8
看 kàn 去看电影 76 1 1
真 zhēn 半真半假 204 1 1
眠 mián 睡眠不足 1986 5 3
眨 zhǎ 眨眼之间 2371 + 3
眩 xuàn 头晕目眩 2909 n 3
眯 mī 眯着眼睛 2955 n 3
眶 kuàng 热泪盈眶 3191 n 3
眷 juàn 眷恋之情 2967 n 1
眸 móu 清澈眼眸 3368 n 3
眺 tiào 眺望远方 3351 n 3
眼 yǎn 闭上眼睛 281 2 3
着 zhe 你笑着说 41 1 8
睁 zhēng 睁开眼睛 1963 + 3
睐 lài 赢得青睐 3969 n 3
睑 jiǎn 眼睑下垂 3901 n 3
睛 jīng 画龙点睛 934 2 3
睡 shuì 睡懒觉 964 1 3
督 dū 监督工作 946 6 1
睦 mù 和睦相处 3019 + 3
睫 jié 浓密睫毛 3415 n 3
睬 cǎi 不理不睬 3250 + 3
睹 dǔ 亲眼目睹 2568 + 3
睾 gāo 睾丸激素 3529 n 1
睿 ruì 英明睿智 3407 n 1
瞄 miáo 瞄准目标 2565 + 3
瞅 chǒu 瞅了一眼 2767 + 3
瞌 kē 打着瞌睡 4061 n 3
瞎 xiā 眼瞎耳聋 2395 + 3
瞒 mán 隐瞒真相 2405 + 3
瞟 piǎo 瞟了一眼 3627 n 3
瞥 piē 瞥了一眼 2706 n 1
瞧 qiáo 瞧瞧看 1551 5 3
瞩 zhǔ 举世瞩目 3320 + 3
瞪 dèng 目瞪口呆 2049 + 3
瞬 shùn 那一瞬间 2114 + 3
瞭 liào 瞭望台 4345 n 3
瞰 kàn 俯瞰全城 3895 n 3
瞳 tóng 瞳孔放大 3733 n 3
瞻 zhān 前瞻性 2960 + 3
瞿 Qú 瞿秋白 3305 n 1
矗 chù 高楼矗立 3029 n 1
矛 máo 自我矛盾 1441 5 12
矜 jīn 性格矜持 3661 n 3
矢 shǐ 速度矢量 2811 + 13
矣 yǐ 悔之晚矣 2069 + 1
知 zhī 不知所措 123 1 3
矩 jǔ 遵守规矩 2160 + 3
矫 jiǎo 矫正牙齿 2916 + 3
短 duǎn 长话短说 889 2 3
矮 ǎi 不高不矮 2027 4 3
石 shí 水滴石穿 414 3 8
矶 jī 洛杉矶 3232 n 3
矾 fán 明矾晶体 4601 n 3
矿 kuàng 矿泉水 1385 4 3
码 mǎ 扫二维码 1345 4 3
砂 shā 砂纸打磨 2713 + 3
砌 qì 用砖砌墙 3221 + 3
砍 kǎn 把树砍掉 2217 + 3
研 yán 科学研究 447 4 3
砖 zhuān 抛砖引玉 2355 + 3
砚 yàn 毛笔砚台 4121 n 3
砰 pēng 心砰砰跳 2869 n 3
破 pò 破门而入 604 3 3
砸 zá 考砸了！ 2456 + 3
砾 lì 砾石小径 3511 n 3
础 chǔ 打下基础 1014 3 3
硅 guī 硅芯片 3331 n 3
硕 shuò 硕士博士 2304 5 3
硝 xiāo 硝酸甘油 3085 n 3
硫 liú 黄色硫酸 2730 n 3
硬 yìng 坚硬如石 1170 5 3
确 què 确切地说 331 2 3
硼 péng 硼砂粉末 4602 n 3
碉 diāo 防守碉堡 3659 n 3
碌 lù 忙忙碌碌 2548 + 3
碍 ài 碍手碍脚 1437 5 3
碎 suì 打碎窗户 1420 5 3
碑 bēi 里程碑 2203 + 3
碗 wǎn 盛一碗汤 1939 2 3
碘 diǎn 含碘食盐 3681 n 3
碟 dié 小菜一碟 2835 + 3
碧 bì 碧绿湖水 2165 + 1
碰 pèng 小心碰头 1371 2 3
碱 jiǎn 碱土金属 2872 n 3
碳 tàn 二氧化碳 2740 + 3
